song,artist,emotion,category,language,youtube
Hindi Song 1,Arijit Singh,happy,party,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+1+Arijit+Singh
Hindi Song 2,Jubin Nautiyal,sad,heartbroken,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+2+Jubin+Nautiyal
Hindi Song 3,Neha Kakkar,calm,travel,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+3+Neha+Kakkar
Hindi Song 4,A.R. Rahman,angry,friendship,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+4+A.R.+Rahman
Hindi Song 5,Atif Aslam,neutral,qawwali,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+5+Atif+Aslam
Hindi Song 6,Arijit Singh,happy,romantic,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+6+Arijit+Singh
Hindi Song 7,Jubin Nautiyal,sad,motivational,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+7+Jubin+Nautiyal
Hindi Song 8,Neha Kakkar,calm,sad,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+8+Neha+Kakkar
Hindi Song 9,A.R. Rahman,angry,party,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+9+A.R.+Rahman
Hindi Song 10,Atif Aslam,neutral,heartbroken,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+10+Atif+Aslam
Hindi Song 11,Arijit Singh,happy,travel,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+11+Arijit+Singh
Hindi Song 12,Jubin Nautiyal,sad,friendship,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+12+Jubin+Nautiyal
Hindi Song 13,Neha Kakkar,calm,qawwali,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+13+Neha+Kakkar
Hindi Song 14,A.R. Rahman,angry,romantic,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+14+A.R.+Rahman
Hindi Song 15,Atif Aslam,neutral,motivational,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+15+Atif+Aslam
Hindi Song 16,Arijit Singh,happy,sad,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+16+Arijit+Singh
Hindi Song 17,Jubin Nautiyal,sad,party,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+17+Jubin+Nautiyal
Hindi Song 18,Neha Kakkar,calm,heartbroken,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+18+Neha+Kakkar
Hindi Song 19,A.R. Rahman,angry,travel,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+19+A.R.+Rahman
Hindi Song 20,Atif Aslam,neutral,friendship,Hindi,https://www.youtube.com/results?search_query=Hindi+Song+20+Atif+Aslam
